Time resolution is 1 ps
                   0clk = 0, D = 0, set = 0, rst = 0, Q = x, Qb = x
                  10clk = 1, D = 0, set = 0, rst = 0, Q = 0, Qb = 1
                  15clk = 1, D = 0, set = 1, rst = 0, Q = 0, Qb = 1
                  20clk = 0, D = 0, set = 1, rst = 0, Q = 0, Qb = 1
                  30clk = 1, D = 0, set = 1, rst = 0, Q = 1, Qb = 0
                  35clk = 1, D = 1, set = 0, rst = 1, Q = 1, Qb = 0
                  40clk = 0, D = 1, set = 0, rst = 1, Q = 1, Qb = 0
                  50clk = 1, D = 1, set = 0, rst = 1, Q = 0, Qb = 1
                  55clk = 1, D = 1, set = 0, rst = 0, Q = 0, Qb = 1
                  60clk = 0, D = 1, set = 0, rst = 0, Q = 0, Qb = 1
                  70clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                  80clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                  90clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 100clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 110clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 120clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 130clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 140clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 150clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 160clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 170clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 180clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 190clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 200clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 210clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 220clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 230clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 240clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 250clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 260clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 270clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 280clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 290clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 300clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 310clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 320clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 330clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 340clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 350clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 360clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 370clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 380clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 390clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 400clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 410clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 420clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 430clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 440clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 450clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 460clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 470clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 480clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 490clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 500clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 510clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 520clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 530clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 540clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 550clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 560clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 570clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 580clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 590clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 600clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 610clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 620clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 630clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 640clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 650clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 660clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 670clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 680clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 690clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 700clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 710clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 720clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 730clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 740clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 750clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 760clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 770clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 780clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 790clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 800clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 810clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 820clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 830clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 840clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 850clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 860clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 870clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 880clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 890clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 900clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 910clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 920clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 930clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 940clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 950clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 960clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 970clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 980clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                 990clk = 1, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
                1000clk = 0, D = 1, set = 0, rst = 0, Q = 1, Qb = 0
